ID_Anuncio,Tipo_Operacion,Tipo_Inmueble,Fecha_Extraccion,Ubicación,Distrito,Precio_Original,Moneda,Precio_Soles,Mantenimiento,Precio_Total_Soles,Precio_m2,m2,Dormitorios,Banos,Cocheras,Piscina,Gym,Parrilla,Seguridad_24_7,Mascotas,Antiguedad,Características,URL,Página
4618731,Alquiler,Proyecto,2026-04-18,"San Isidro, Lima",San Isidro,"Departamentos desde S/ 2,750",PEN,2750.0,,,45.83,60,2.0,,,1,1,1,0,0,No especifica,160 un. | 1 a 2 dorm. | 45 a 60 m² tot.,https://urbania.pe/inmueble/proyecto/ememefin-proyecto-alquileres-semiamoblados-nomad-living-juan-de-arona-lima-san-isidro-ccla-nomad-living-4618731?n_src=Listado&n_pg=1&n_pos=3,1
147818750,Alquiler,Casa,2026-04-18,"San Isidro, Lima",San Isidro,"S/ 20,220 · USD 6,000",PEN,20220.0,,,45.64,443,7.0,2.0,,0,0,0,0,0,No especifica,443 m² tot. | 7 dorm. | 2 baños,https://urbania.pe/inmueble/clasificado/alclcain-alquiler-de-casa-en-san-isidro-lima-5-a-mas-dormitorios-147818750?n_src=Listado&n_pg=1&n_pos=4,1
64511623,Alquiler,Departamento,2026-04-18,"Miraflores, Lima",Miraflores,"S/ 15,980 · USD 4,700",PEN,15980.0,800.0,16780.0,71.02,225,3.0,2.0,3.0,1,1,0,0,1,No especifica,225 m² tot. | 3 dorm. | 2 baños | 3 estac.,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-miraflores-lima-3-dormitorios-64511623?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=5,1
149576377,Alquiler,Casa,2026-04-18,"San Isidro, Lima",San Isidro,"S/ 24,700 · USD 6,500",PEN,24700.0,,,58.81,420,5.0,2.0,5.0,0,0,0,0,0,No especifica,420 m² tot. | 5 dorm. | 2 baños | 5 estac.,https://urbania.pe/inmueble/clasificado/alclcain-alquiler-de-casa-en-san-isidro-lima-5-a-mas-dormitorios-149576377?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=6,1
148197652,Alquiler,Departamento,2026-04-18,"Malecón Cisneros, Miraflores",Miraflores,"S/ 4,704 · USD 1,400",PEN,4704.0,800.0,5504.0,32.44,145,3.0,2.0,1.0,0,0,0,0,0,No especifica,145 m² tot. | 3 dorm. | 2 baños | 1 estac.,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-malecon-cisneros-miraflores-3-dormitorios-148197652?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=7,1
149383626,Alquiler,Departamento,2026-04-18,"Miraflores, Lima",Miraflores,"S/ 3,200 · USD 914",PEN,3200.0,350.0,3550.0,38.1,84,2.0,2.0,1.0,0,0,0,1,0,No especifica,84 m² tot. | 2 dorm. | 2 baños | 1 estac.,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-miraflores-lima-2-dormitorios-149383626?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=8,1
149369085,Alquiler,Departamento,2026-04-18,"Orrantia, San Isidro",San Isidro,"S/ 2,900 · USD 852",PEN,2900.0,500.0,3400.0,30.53,95,2.0,1.0,1.0,0,0,0,0,1,No especifica,95 m² tot. | 2 dorm. | 1 baño | 1 estac.,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-orrantia-san-isidro-2-dormitorios-149369085?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=9,1
148834923,Alquiler,Departamento,2026-04-18,"El Sol De La Molina Et.1, La Molina",La Molina,"S/ 1,750 · USD 525",PEN,1750.0,,,43.75,40,2.0,1.0,1.0,0,0,0,0,1,No especifica,40 m² tot. | 2 dorm. | 1 baño | 1 estac.,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-el-sol-de-la-molina-et1-la-molina-2-dormitorios-148834923?n_src=Listado&n_pg=1&n_pos=10,1
149397213,Alquiler,Departamento,2026-04-18,"San Isidro, Lima",San Isidro,"S/ 3,660 · USD 1,050",PEN,3660.0,275.0,3935.0,50.14,73,2.0,2.0,1.0,1,1,0,1,0,No especifica,73 m² tot. | 2 dorm. | 2 baños | 1 estac.,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-san-isidro-lima-2-dormitorios-149397213?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=11,1
149306837,Alquiler,Departamento,2026-04-18,"Miraflores, Lima",Miraflores,"S/ 2,400",PEN,2400.0,250.0,2650.0,34.78,69,2.0,1.0,,0,0,0,1,0,No especifica,69 m² tot. | 2 dorm. | 1 baño,https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-miraflores-lima-2-dormitorios-149306837?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=12,1
